"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BlackRock Institutional Trust Company, National Association";"OCI N.V.";"NL0010558797";"0.49";"2020-04-28 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.42";"2020-04-28 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.47";"2020-04-28 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.48";"2020-04-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"0.39";"2020-04-24 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.56";"2020-04-24 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.57";"2020-04-23 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.54";"2020-04-23 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.45";"2020-04-22 00:00:00"
"Citadel Advisors LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.49";"2020-04-22 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.67";"2020-04-22 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.63";"2020-04-21 00:00:00"
"Marshall Wace LLP";"Adyen N.V.";"NL0012969182";"0.44";"2020-04-21 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.47";"2020-04-21 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.94";"2020-04-20 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.74";"2020-04-20 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.48";"2020-04-20 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.44";"2020-04-17 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.45";"2020-04-17 00:00:00"
"Tybourne Capital Management (HK) Limited";"Signify N.V.";"NL0011821392";"0.00";"2020-04-17 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.48";"2020-04-16 00:00:00"
"Citadel Europe LLP";"AEGON N.V.";"NL0000303709";"0.49";"2020-04-16 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.69";"2020-04-16 00:00:00"
"Lakewood Capital Management, LP";"Flow Traders N.V.";"NL0011279492";"0.49";"2020-04-16 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.61";"2020-04-15 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.70";"2020-04-15 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.45";"2020-04-15 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.57";"2020-04-14 00:00:00"
"BlackRock Institutional Trust Company, National Association";"OCI N.V.";"NL0010558797";"0.58";"2020-04-14 00:00:00"
"WorldQuant, LLC";"Eurocommercial Properties N.V.";"NL0000288876";"0.49";"2020-04-14 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.49";"2020-04-09 00:00:00"
"Caxton Europe LLP";"Fugro N.V.";"NL0000352565";"0.49";"2020-04-09 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.46";"2020-04-09 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.58";"2020-04-09 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.88";"2020-04-09 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.56";"2020-04-08 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.66";"2020-04-08 00:00:00"
"WorldQuant, LLC";"Eurocommercial Properties N.V.";"NL0000288876";"0.55";"2020-04-08 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.67";"2020-04-07 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.66";"2020-04-07 00:00:00"
"Citadel Advisors LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.52";"2020-04-07 00:00:00"
"Citadel Advisors LLC";"Wereldhave N.V.";"NL0000289213";"0.45";"2020-04-07 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.47";"2020-04-07 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.55";"2020-04-07 00:00:00"
"Eleva Capital SAS";"Wereldhave N.V.";"NL0000289213";"0.00";"2020-04-07 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.61";"2020-04-07 00:00:00"
"Lucerne Capital Management, L.P.";"B&S Group S.A.";"LU1789205884";"0.30";"2020-04-07 00:00:00"
"Marshall Wace LLP";"Adyen N.V.";"NL0012969182";"0.58";"2020-04-07 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.74";"2020-04-07 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.51";"2020-04-07 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.49";"2020-04-07 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.59";"2020-04-06 00:00:00"
"Citadel Advisors LLC";"Wereldhave N.V.";"NL0000289213";"0.59";"2020-04-06 00:00:00"
"Eleva Capital SAS";"Wereldhave N.V.";"NL0000289213";"0.55";"2020-04-06 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.89";"2020-04-06 00:00:00"
"Tybourne Capital Management (HK) Limited";"Signify N.V.";"NL0011821392";"0.51";"2020-04-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"1.74";"2020-04-03 00:00:00"
"Citadel Advisors LLC";"Wereldhave N.V.";"NL0000289213";"0.61";"2020-04-03 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.69";"2020-04-03 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0.96";"2020-04-03 00:00:00"
"PDT Partners, LLC";"Flow Traders N.V.";"NL0011279492";"0.49";"2020-04-03 00:00:00"
"WorldQuant, LLC";"Eurocommercial Properties N.V.";"NL0000288876";"0.60";"2020-04-03 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.67";"2020-04-02 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.55";"2020-04-02 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.51";"2020-04-02 00:00:00"
"Marshall Wace LLP";"Adyen N.V.";"NL0012969182";"0.60";"2020-04-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.05";"2020-04-02 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.54";"2020-04-02 00:00:00"
"Citadel Europe LLP";"AEGON N.V.";"NL0000303709";"0.58";"2020-04-01 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.78";"2020-04-01 00:00:00"
"Marshall Wace LLP";"Basic-Fit N.V.";"NL0011872650";"0.44";"2020-04-01 00:00:00"
"Marshall Wace LLP";"Signify N.V.";"NL0011821392";"0.47";"2020-04-01 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.98";"2020-04-01 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.79";"2020-03-31 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.75";"2020-03-31 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"1.47";"2020-03-31 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.17";"2020-03-31 00:00:00"
"WorldQuant, LLC";"Eurocommercial Properties N.V.";"NL0000288876";"0.50";"2020-03-31 00:00:00"
"BlackRock Institutional Trust Company, National Association";"OCI N.V.";"NL0010558797";"0.61";"2020-03-30 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"1.30";"2020-03-30 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.69";"2020-03-30 00:00:00"
"AHL Partners LLP";"OCI N.V.";"NL0010558797";"0.49";"2020-03-27 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.88";"2020-03-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"1.26";"2020-03-27 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.70";"2020-03-27 00:00:00"
"Caxton Europe LLP";"Fugro N.V.";"NL0000352565";"0.50";"2020-03-27 00:00:00"
"Marshall Wace LLP";"Basic-Fit N.V.";"NL0011872650";"0.59";"2020-03-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.29";"2020-03-27 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.49";"2020-03-27 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.59";"2020-03-26 00:00:00"
"Marshall Wace LLP";"Basic-Fit N.V.";"NL0011872650";"0.60";"2020-03-26 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.34";"2020-03-26 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.00";"2020-03-25 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.64";"2020-03-25 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.88";"2020-03-25 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.39";"2020-03-25 00:00:00"
"Point72 Asset Management, L.P.";"Pharming Group N.V.";"NL0010391025";"0.44";"2020-03-25 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.43";"2020-03-24 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.43";"2020-03-24 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.43";"2020-03-24 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.43";"2020-03-24 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.41";"2020-03-24 00:00:00"
"Citadel Advisors LLC";"PostNL N.V.";"NL0009739416";"0.42";"2020-03-24 00:00:00"
"Citadel Europe LLP";"AEGON N.V.";"NL0000303709";"0.61";"2020-03-24 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.62";"2020-03-24 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.49";"2020-03-24 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.59";"2020-03-24 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.09";"2020-03-24 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.58";"2020-03-24 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.55";"2020-03-23 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.55";"2020-03-23 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.55";"2020-03-23 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.55";"2020-03-23 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.54";"2020-03-23 00:00:00"
"Capital Fund Management S.A.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.49";"2020-03-23 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.34";"2020-03-23 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.56";"2020-03-23 00:00:00"
"Point72 Asset Management, L.P.";"Pharming Group N.V.";"NL0010391025";"0.60";"2020-03-23 00:00:00"
"Sylebra HK Limited";"Signify N.V.";"NL0011821392";"0.45";"2020-03-23 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.49";"2020-03-20 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.65";"2020-03-20 00:00:00"
"Citadel Advisors LLC";"Galapagos N.V.";"BE0003818359";"0.45";"2020-03-20 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.30";"2020-03-20 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.51";"2020-03-20 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.91";"2020-03-20 00:00:00"
"GLG Partners LP";"Wereldhave N.V.";"NL0000289213";"0.53";"2020-03-20 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.70";"2020-03-20 00:00:00"
"Marshall Wace LLP";"Basic-Fit N.V.";"NL0011872650";"0.50";"2020-03-20 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.62";"2020-03-20 00:00:00"
"Sylebra HK Limited";"Signify N.V.";"NL0011821392";"0.52";"2020-03-20 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.69";"2020-03-19 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.69";"2020-03-19 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.69";"2020-03-19 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.69";"2020-03-19 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0.52";"2020-03-19 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.49";"2020-03-19 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.49";"2020-03-19 00:00:00"
"Marshall Wace LLP";"Signify N.V.";"NL0011821392";"0.51";"2020-03-19 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1.74";"2020-03-19 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.69";"2020-03-19 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.76";"2020-03-19 00:00:00"
"BlackRock Investment Management (UK) Limited";"Signify N.V.";"NL0011821392";"1.46";"2020-03-18 00:00:00"
"Citadel Advisors LLC";"Galapagos N.V.";"BE0003818359";"0.57";"2020-03-18 00:00:00"
"Citadel Advisors LLC";"Wereldhave N.V.";"NL0000289213";"0.48";"2020-03-18 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.65";"2020-03-18 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.68";"2020-03-18 00:00:00"
"Millennium Capital Partners LLP";"Signify N.V.";"NL0011821392";"0.46";"2020-03-18 00:00:00"
"Millennium International Management LP";"Signify N.V.";"NL0011821392";"0.41";"2020-03-18 00:00:00"
"Point72 Asset Management, L.P.";"Pharming Group N.V.";"NL0010391025";"0.76";"2020-03-18 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.19";"2020-03-18 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.88";"2020-03-17 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.77";"2020-03-17 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.77";"2020-03-17 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.77";"2020-03-17 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.77";"2020-03-17 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.76";"2020-03-17 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.50";"2020-03-17 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.70";"2020-03-17 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"2.17";"2020-03-17 00:00:00"
"Kingdon Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"0.31";"2020-03-17 00:00:00"
"Marshall Wace LLP";"Adyen N.V.";"NL0012969182";"0.51";"2020-03-17 00:00:00"
"Millennium Capital Partners LLP";"Signify N.V.";"NL0011821392";"0.91";"2020-03-17 00:00:00"
"Millennium International Management LP";"Signify N.V.";"NL0011821392";"0.57";"2020-03-17 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.71";"2020-03-17 00:00:00"
"Paloma Partners Management Company";"BE Semiconductor Industries N.V.";"NL0012866412";"0.48";"2020-03-17 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.81";"2020-03-17 00:00:00"
"WorldQuant, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.26";"2020-03-17 00:00:00"
"WorldQuant, LLC";"Flow Traders N.V.";"NL0011279492";"0.26";"2020-03-17 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.40";"2020-03-17 00:00:00"
"WorldQuant, LLC";"Wereldhave N.V.";"NL0000289213";"0.43";"2020-03-17 00:00:00"
"Citadel Advisors LLC";"Fugro N.V.";"NL0000352565";"0.31";"2020-03-16 00:00:00"
"Citadel Advisors LLC";"Galapagos N.V.";"BE0003818359";"0.69";"2020-03-16 00:00:00"
"Citadel Europe LLP";"AEGON N.V.";"NL0000303709";"0.50";"2020-03-16 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.63";"2020-03-16 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.87";"2020-03-16 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.86";"2020-03-16 00:00:00"
"Hound Partners, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"2.35";"2020-03-16 00:00:00"
"Lakewood Capital Management, LP";"Flow Traders N.V.";"NL0011279492";"0.59";"2020-03-16 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.29";"2020-03-16 00:00:00"
"Millennium Capital Partners LLP";"Signify N.V.";"NL0011821392";"1.23";"2020-03-16 00:00:00"
"Point72 Asset Management, L.P.";"Pharming Group N.V.";"NL0010391025";"0.88";"2020-03-16 00:00:00"
"Verde Serviços Internacionais S.A.";"BE Semiconductor Industries N.V.";"NL0012866412";"0.45";"2020-03-16 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.27";"2020-03-16 00:00:00"
"WorldQuant, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.60";"2020-03-16 00:00:00"
"WorldQuant, LLC";"Flow Traders N.V.";"NL0011279492";"0.51";"2020-03-16 00:00:00"
"WorldQuant, LLC";"Wereldhave N.V.";"NL0000289213";"0.58";"2020-03-16 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0.46";"2020-03-13 00:00:00"
"Arrowstreet Capital, Limited Partnership";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.99";"2020-03-13 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.89";"2020-03-13 00:00:00"
"Citadel Advisors LLC";"Fugro N.V.";"NL0000352565";"0.53";"2020-03-13 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"1.06";"2020-03-13 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.49";"2020-03-13 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.73";"2020-03-13 00:00:00"
"Kingdon Capital Management LLC";"Pharming Group N.V.";"NL0010391025";"0.68";"2020-03-13 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0.62";"2020-03-13 00:00:00"
"Millennium Capital Partners LLP";"Signify N.V.";"NL0011821392";"1.38";"2020-03-13 00:00:00"
"Millennium International Management LP";"Signify N.V.";"NL0011821392";"0.67";"2020-03-13 00:00:00"
"PDT Partners, LLC";"Flow Traders N.V.";"NL0011279492";"0.51";"2020-03-13 00:00:00"
"Point72 Asset Management, L.P.";"Pharming Group N.V.";"NL0010391025";"0.94";"2020-03-13 00:00:00"
"Public Equity Partners Management, L.P.";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.48";"2020-03-13 00:00:00"
"UBS Asset Management (UK) Ltd.";"PostNL N.V.";"NL0009739416";"0.47";"2020-03-13 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"0.93";"2020-03-13 00:00:00"
"WorldQuant, LLC";"Flow Traders N.V.";"NL0011279492";"0.68";"2020-03-13 00:00:00"
"WorldQuant, LLC";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.56";"2020-03-13 00:00:00"
"AKO Capital LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"1.12";"2020-03-12 00:00:00"
"AQR Capital Management, LLC";"Adyen N.V.";"NL0012969182";"0.49";"2020-03-12 00:00:00"
"BFAM Partners (Hong Kong) Limited";"BE Semiconductor Industries N.V.";"NL0012866412";"0.47";"2020-03-12 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.89";"2020-03-12 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.89";"2020-03-12 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.89";"2020-03-12 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.90";"2020-03-12 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.89";"2020-03-12 00:00:00"
"Citadel Advisors LLC";"Fugro N.V.";"NL0000352565";"0.61";"2020-03-12 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"1.24";"2020-03-12 00:00:00"
"D. E. Shaw & Co., L.P.";"ArcelorMittal S.A.";"LU1598757687";"0.50";"2020-03-12 00:00:00"
"D. E. Shaw & Co., L.P.";"Wereldhave N.V.";"NL0000289213";"0.93";"2020-03-12 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.75";"2020-03-12 00:00:00"
"Lakewood Capital Management, LP";"Flow Traders N.V.";"NL0011279492";"0.61";"2020-03-12 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1.05";"2020-03-12 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.43";"2020-03-12 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0.34";"2020-03-12 00:00:00"
"Numeric Investors LLC";"Galapagos N.V.";"BE0003818359";"0.53";"2020-03-12 00:00:00"
"Public Equity Partners Management, L.P.";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.74";"2020-03-12 00:00:00"
"UBS Asset Management (UK) Ltd.";"PostNL N.V.";"NL0009739416";"0.77";"2020-03-12 00:00:00"
"Voleon Capital Management LP";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.34";"2020-03-12 00:00:00"
"WorldQuant, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.78";"2020-03-12 00:00:00"
"WorldQuant, LLC";"Flow Traders N.V.";"NL0011279492";"0.74";"2020-03-12 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.51";"2020-03-11 00:00:00"
"Citadel Advisors LLC";"Fugro N.V.";"NL0000352565";"0.52";"2020-03-11 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"1.05";"2020-03-11 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.98";"2020-03-11 00:00:00"
"Kuvari Partners LLP";"ARCADIS N.V.";"NL0006237562";"0.87";"2020-03-11 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1.38";"2020-03-11 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.64";"2020-03-11 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0.64";"2020-03-11 00:00:00"
"Public Equity Partners Management, L.P.";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"1.08";"2020-03-11 00:00:00"
"Woodline Partners";"Pharming Group N.V.";"NL0010391025";"1.01";"2020-03-11 00:00:00"
"WorldQuant, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.90";"2020-03-11 00:00:00"
"WorldQuant, LLC";"Flow Traders N.V.";"NL0011279492";"0.80";"2020-03-11 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.98";"2020-03-10 00:00:00"
"Bridgewater Associates, LP";"ASML Holding N.V.";"NL0010273215";"0.70";"2020-03-10 00:00:00"
"Bridgewater Associates, LP";"ING Groep N.V.";"NL0011821202";"0.70";"2020-03-10 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.70";"2020-03-10 00:00:00"
"Bridgewater Associates, LP";"Koninklijke Philips N.V.";"NL0000009538";"0.70";"2020-03-10 00:00:00"
"Bridgewater Associates, LP";"Unilever N.V.";"NL0000388619";"0.70";"2020-03-10 00:00:00"
"Citadel Advisors LLC";"Flow Traders N.V.";"NL0011279492";"0.47";"2020-03-10 00:00:00"
"Citadel Europe LLP";"ArcelorMittal S.A.";"LU1598757687";"0.46";"2020-03-10 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.91";"2020-03-10 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"0.86";"2020-03-10 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1.49";"2020-03-10 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0.73";"2020-03-10 00:00:00"
"Marshall Wace LLP";"Unibail-Rodamco SE";"FR0013326246";"0.46";"2020-03-10 00:00:00"
"Millennium International Management LP";"Signify N.V.";"NL0011821392";"0.89";"2020-03-10 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0.81";"2020-03-10 00:00:00"
