"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"0.89";"2014-01-30 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"3.25";"2014-01-29 00:00:00"
"Citadel Europe LLP";"Fugro N.V.";"NL0000352565";"0.83";"2014-01-29 00:00:00"
"Egerton Capital (UK) LLP";"Fugro N.V.";"NL0000352565";"0.40";"2014-01-29 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.43";"2014-01-29 00:00:00"
"Scopia Capital Management LP";"Koninklijke Vopak N.V.";"NL0009432491";"0.49";"2014-01-29 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.54";"2014-01-28 00:00:00"
"Scopia Capital Management LP";"Koninklijke Vopak N.V.";"NL0009432491";"0.58";"2014-01-28 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.54";"2014-01-27 00:00:00"
"Adelphi Capital LLP";"Fugro N.V.";"NL0000352565";"0.58";"2014-01-24 00:00:00"
"Lansdowne Partners Limited";"Royal Imtech N.V.";"NL0006055329";"1.00";"2014-01-24 00:00:00"
"Susquehanna International Holdings LLC";"Pharming Group N.V.";"NL0010391025";"0.16";"2014-01-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.68";"2014-01-23 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.42";"2014-01-23 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"0.96";"2014-01-23 00:00:00"
"Susquehanna International Holdings LLC";"Pharming Group N.V.";"NL0010391025";"0.50";"2014-01-23 00:00:00"
"GLG Partners LP";"Royal Imtech N.V.";"NL0006055329";"1.00";"2014-01-21 00:00:00"
"Oxford Asset Management";"Royal Imtech N.V.";"NL0006055329";"0.89";"2014-01-21 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Heijmans N.V.";"NL0009269109";"1.09";"2014-01-20 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.69";"2014-01-20 00:00:00"
"Egerton Capital (UK) LLP";"Fugro N.V.";"NL0000352565";"0.58";"2014-01-17 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"Royal Imtech N.V.";"NL0006055329";"0.61";"2014-01-16 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.76";"2014-01-16 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.53";"2014-01-16 00:00:00"
"BlackRock Advisors (UK) Limited";"Heijmans N.V.";"NL0009269109";"0.59";"2014-01-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.70";"2014-01-15 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.04";"2014-01-15 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.69";"2014-01-14 00:00:00"
"BlueCrest Capital Management LLP";"Royal Imtech N.V.";"NL0006055329";"0.45";"2014-01-14 00:00:00"
"Cadian Capital Management GP, LLC";"TomTom N.V.";"NL0000387058";"0.85";"2014-01-14 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"0.29";"2014-01-14 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"0.51";"2014-01-13 00:00:00"
"Cadian Capital Management GP, LLC";"TomTom N.V.";"NL0000387058";"0.73";"2014-01-10 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"0.69";"2014-01-10 00:00:00"
"Saemor Capital B.V.";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.49";"2014-01-10 00:00:00"
"AQR Capital Management, LLC";"Fugro N.V.";"NL0000352565";"1.50";"2014-01-09 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"0.81";"2014-01-09 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.44";"2014-01-09 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.93";"2014-01-08 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"0.92";"2014-01-08 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.57";"2014-01-08 00:00:00"
"AKO Capital LLP";"Fugro N.V.";"NL0000352565";"2.54";"2014-01-07 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Corio N.V.";"NL0000288967";"0.50";"2014-01-07 00:00:00"
"BlackRock Institutional Trust Company, National Association";"USG People N.V.";"NL0000354488";"0.59";"2014-01-07 00:00:00"
"Egerton Capital (UK) LLP";"Fugro N.V.";"NL0000352565";"0.76";"2014-01-07 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.16";"2014-01-07 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"0.99";"2014-01-07 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.80";"2014-01-06 00:00:00"
"BlueCrest Capital Management LLP";"Royal Imtech N.V.";"NL0006055329";"0.51";"2014-01-06 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.35";"2014-01-06 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.69";"2014-01-06 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.62";"2014-01-06 00:00:00"
"TT International";"Royal Imtech N.V.";"NL0006055329";"0.49";"2014-01-06 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"1.85";"2014-01-03 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.72";"2014-01-03 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.09";"2014-01-03 00:00:00"
"Discovery Capital Management, LLC";"TomTom N.V.";"NL0000387058";"0.80";"2014-01-02 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.09";"2014-01-02 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.10";"2013-12-31 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Corio N.V.";"NL0000288967";"0.49";"2013-12-30 00:00:00"
"Cadian Capital Management GP, LLC";"TomTom N.V.";"NL0000387058";"0.60";"2013-12-30 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.25";"2013-12-30 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.64";"2013-12-30 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.74";"2013-12-30 00:00:00"
"Cadian Capital Management GP, LLC";"TomTom N.V.";"NL0000387058";"0.53";"2013-12-27 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.35";"2013-12-27 00:00:00"
"Saemor Capital B.V.";"Koninklijke BAM Groep N.V.";"NL0000337319";"0.52";"2013-12-27 00:00:00"
"Marshall Wace LLP";"USG People N.V.";"NL0000354488";"0.89";"2013-12-23 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.70";"2013-12-20 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.47";"2013-12-20 00:00:00"
"Marshall Wace LLP";"SBM Offshore N.V.";"NL0000360618";"0.50";"2013-12-20 00:00:00"
"Adage Capital Management L.P.";"Aperam S.A.";"LU0569974404";"2.64";"2013-12-19 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.56";"2013-12-19 00:00:00"
"Millennium International Management LP";"Core Laboratories N.V.";"NL0000200384";"0.84";"2013-12-19 00:00:00"
"Elliott Management Corporation";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.00";"2013-12-18 00:00:00"
"TT International";"Fugro N.V.";"NL0000352565";"0.51";"2013-12-18 00:00:00"
"Wellington Management Company LLP";"Corio N.V.";"NL0000288967";"0.48";"2013-12-18 00:00:00"
"BlackRock Investment Management (UK) Limited";"Fugro N.V.";"NL0000352565";"0.64";"2013-12-17 00:00:00"
"Egerton Capital (UK) LLP";"Fugro N.V.";"NL0000352565";"0.65";"2013-12-17 00:00:00"
"GLG Partners LP";"Wolters Kluwer N.V.";"NL0000395903";"0.40";"2013-12-17 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.69";"2013-12-17 00:00:00"
"Wellington Management Company LLP";"Corio N.V.";"NL0000288967";"0.51";"2013-12-17 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.73";"2013-12-16 00:00:00"
"Susquehanna International Holdings LLC";"Corbion N.V.";"NL0010583399";"1.29";"2013-12-16 00:00:00"
"BlackRock Institutional Trust Company, National Association";"USG People N.V.";"NL0000354488";"0.60";"2013-12-12 00:00:00"
"Marshall Wace LLP";"Royal Imtech N.V.";"NL0006055329";"2.80";"2013-12-12 00:00:00"
