"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.70";"2018-10-29 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"2.46";"2018-10-29 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.68";"2018-10-26 00:00:00"
"Great Point Partners, LLC";"Pharming Group N.V.";"NL0010391025";"0.61";"2018-10-25 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.51";"2018-10-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.28";"2018-10-24 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.62";"2018-10-24 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2018-10-24 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.75";"2018-10-24 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.23";"2018-10-24 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.57";"2018-10-24 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.77";"2018-10-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.47";"2018-10-23 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.80";"2018-10-22 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.29";"2018-10-22 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.30";"2018-10-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.68";"2018-10-19 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.99";"2018-10-19 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.50";"2018-10-19 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.40";"2018-10-19 00:00:00"
