"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.85";"2019-04-17 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.34";"2019-04-17 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.09";"2019-04-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.80";"2019-04-16 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.59";"2019-04-16 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.20";"2019-04-16 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.10";"2019-04-15 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"1.02";"2019-04-15 00:00:00"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.77";"2019-04-15 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.47";"2019-04-15 00:00:00"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.68";"2019-04-12 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.54";"2019-04-12 00:00:00"
"Adelphi Capital LLP";"Wereldhave N.V.";"NL0000289213";"0.60";"2019-04-11 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.99";"2019-04-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.57";"2019-04-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.47";"2019-04-11 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.60";"2019-04-11 00:00:00"
"Adelphi Capital LLP";"Wereldhave N.V.";"NL0000289213";"0.53";"2019-04-10 00:00:00"
"Woodson Capital Master Fund, LP";"Wereldhave N.V.";"NL0000289213";"1.22";"2019-04-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.69";"2019-04-04 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.95";"2019-04-03 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.58";"2019-04-03 00:00:00"
"Merian Global Investors (UK) Limited";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.56";"2019-04-02 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.23";"2019-04-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.77";"2019-03-29 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.08";"2019-03-28 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.13";"2019-03-27 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.60";"2019-03-26 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2019-03-25 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.60";"2019-03-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.87";"2019-03-22 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.69";"2019-03-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.08";"2019-03-21 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.70";"2019-03-21 00:00:00"
