AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;20/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;20/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;21/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;21/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;22/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;22/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;23/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;23/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;24/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;24/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;25/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;25/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;26/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;26/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;27/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;27/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;28/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;28/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;29/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;29/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;30/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;30/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;31/03/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;31/03/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;01/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;01/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;02/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;02/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;03/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;03/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;04/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;04/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;05/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;05/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;06/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;06/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;07/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;07/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;08/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;08/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;09/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;09/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;10/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;10/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;11/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;11/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;12/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;12/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;13/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;13/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;14/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;14/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;15/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;15/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;16/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;16/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;17/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;17/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;18/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;18/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;19/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;19/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;20/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;20/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;21/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;21/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;22/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;22/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;23/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;23/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;24/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;24/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;25/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;25/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;26/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;26/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;27/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;27/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;28/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;28/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;29/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;29/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;30/04/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;30/04/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;01/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;01/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;02/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;02/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;03/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;03/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,01%;04/05/2013
